"logFC","AveExpr","t","P.Value","adj.P.Val","B","CpG","gene","deltaBeta","gene_label"
3.1942050395292,-1.37861231778585,2.50733115973024,0.0206144007663548,0.976777769925799,-4.20972193529241,"cg11738485","HOOK2;HOOK2",0.336709880042074,"HOOK2"
2.0067895674203,0.0470213067997105,5.20522489794868,3.90601433947902e-05,0.976777769925799,-3.4665498563329,"cg20707907","TEC",0.310996589728939,"TEC"
1.95425331793911,-0.688967097625071,3.37406095643951,0.00292067873042212,0.976777769925799,-3.9441878723479,"cg19898448","ANKRD50;ANKRD50",0.264625801614959,"ANKRD50"
1.92934967431142,1.3054073960342,3.81166623912245,0.00104467348455041,0.976777769925799,-3.81648712478484,"cg09471887","BACH2;BACH2",0.262800372680356,"BACH2"
1.83202859433182,-1.08367442403294,2.98574432737005,0.00714056907567116,0.976777769925799,-4.06219191413964,"cg09606807","",0.26082128282499,NA
1.7614189810303,0.327848464889919,3.27112996953022,0.00370964358562593,0.976777769925799,-3.97513238236904,"cg11868247","",0.260713776580267,NA
1.80977339730171,1.06024414252238,3.09550843456954,0.0055595109168657,0.976777769925799,-4.02852582299104,"cg18096251","",0.259457975890087,NA
1.64912283298573,-0.307118720917425,2.42853822640698,0.0244033975365017,0.976777769925799,-4.23384602185472,"cg10296238","C21orf56;C21orf56",0.250917288462833,"C21orf56"
1.68901112237366,-0.719245072574588,2.81865362355437,0.0104048313294482,0.976777769925799,-4.11370749484254,"cg04993605","",0.248095324070002,NA
1.56076120496863,0.498675359948936,3.86173934264818,0.000927987187290458,0.976777769925799,-3.80233994386124,"cg00975163","",0.247432551573133,NA
